iter	Passed	Remaining
0	50	4969
1	52	2560
2	54	1746
3	55	1340
4	57	1087
5	58	919
6	59	791
7	60	700
8	62	636
9	64	580
10	66	534
11	67	493
12	68	458
13	69	428
14	71	403
15	72	380
16	73	359
17	74	341
18	76	324
19	77	310
20	79	297
21	81	289
22	82	276
23	84	266
24	85	256
25	86	247
26	88	238
27	89	230
28	90	222
29	92	214
30	93	208
31	95	203
32	97	197
33	99	192
34	100	186
35	102	181
36	103	176
37	104	171
38	105	165
39	107	161
40	109	156
41	110	152
42	111	148
43	115	147
44	117	143
45	117	138
46	119	134
47	120	130
48	121	126
49	123	123
50	124	119
51	125	116
52	128	114
53	131	112
54	132	108
55	134	105
56	135	102
57	136	99
58	138	95
59	139	93
60	140	90
61	142	87
62	144	84
63	146	82
64	147	79
65	149	77
66	150	74
67	152	71
68	153	68
69	154	66
70	155	63
71	157	61
72	158	58
73	159	56
74	161	53
75	163	51
76	165	49
77	166	47
78	168	44
79	169	42
80	170	40
81	172	37
82	173	35
83	175	33
84	176	31
85	181	29
86	182	27
87	183	25
88	184	22
89	186	20
90	187	18
91	188	16
92	190	14
93	193	12
94	195	10
95	196	8
96	198	6
97	199	4
98	201	2
99	202	0
